[Header]
TITLE,SmOHCO3 Puck 225 01-29-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
12912355.08,,5905,,2.8986,-0.08,9.2E-6,2.8902679,0.062263952,0.0036348178,2.126E-5,0.52285003,0.00302,4.1576679,0.02126,0.19253393,1.37972,0.0043213016,97.105756,2345.9818,4.556,1,,,,3.0822807E-6,2.7935387,8.3536483,0.0012576059,0
12912387.44,,5905,,2.8964,-0.08,9.2E-6,2.8902115,0.061348406,0.0036664807,2.163E-5,0.52277833,0.00302,4.1892591,0.02163,0.22401059,1.3760203,0.0042868429,97.101693,2339.1635,4.584,1,,,,3.1143045E-6,2.75944,8.3533224,0.0012685856,0
12912526.88,,5905,,3.0261,-0.08,9.2E-6,3.0181737,0.067177264,0.003549277,1.664E-5,0.58678699,0.003282,4.136064,0.01664,0.25966869,1.3407208,0.0064991409,95.936833,2469.3257,3.846,1,,,,3.181652E-6,2.7520406,9.1093727,0.0011759684,0
12912557.2,,5905,,3.026,-0.08,9.2E-6,3.0177495,0.06437786,0.0035971212,1.496E-5,0.58624462,0.003282,4.1833659,0.01496,0.5014166,1.2855137,0.0058709959,96.135489,2457.9833,3.397,1,,,,3.3514143E-6,2.6814415,9.1068119,0.001191988,0
12912589.64,,5905,,3.0257,-0.08,9.2E-6,3.0171828,0.064445316,0.0035008978,2.086E-5,0.58745277,0.003281,4.0883505,0.02086,1.2938271,1.2897807,0.0054832158,96.485039,2479.8339,4.906,1,,,,3.2548491E-6,2.5710273,9.1033923,0.0011603201,0
12912728.13,,5905,,3.159,-0.08,9.2E-6,3.156388,0.068863944,0.0034870328,2.002E-5,0.65967053,0.003221,4.1467034,0.02002,0.75565256,1.1915732,0.0055419382,96.469375,2597.6809,4.951,1,,,,3.5705196E-6,2.5795614,9.9627849,0.0011047542,0
12912758.28,,5905,,3.161,-0.08,9.2E-6,3.1545548,0.06703362,0.0033823332,2.027E-5,0.65874416,0.003216,4.0410773,0.02027,0.20003873,1.1851809,0.0058952134,96.296642,2622.6886,5.22,1,,,,3.5020048E-6,2.3831465,9.9512163,0.0010722062,0
12912787.14,,5905,,3.1576,-0.08,9.2E-6,3.1541486,0.065856694,0.0035414581,2.384E-5,0.65864984,0.003216,4.2001079,0.02384,0.25418077,1.2558601,0.005536684,96.615435,2582.4715,5.768,1,,,,3.4280806E-6,2.3703619,9.9486531,0.0011227937,0
12912929.47,,5905,,3.2968,-0.08,9.2E-6,3.3013775,0.07628745,0.0034091487,1.777E-5,0.72426164,0.00395,4.1334103,0.01777,0.20204573,1.2056222,0.0050685594,97.058403,2737.5411,4.741,1,,,,3.4994345E-6,2.5117202,10.899093,0.0010326443,0
12912959.53,,5905,,3.3016,-0.08,9.2E-6,3.3009846,0.073328442,0.0033458792,1.833E-5,0.72351433,0.003944,4.0693936,0.01833,0.24162365,1.1149245,0.0048921342,96.964439,2754.361,5.012,1,,,,3.7275204E-6,2.4112445,10.8965,0.0010136004,0
12912987.7,,5905,,3.298,-0.08,9.2E-6,3.2979365,0.069244067,0.0035039783,1.879E-5,0.72203633,0.003932,4.2260146,0.01879,0.96538258,1.2235977,0.0065039431,96.190474,2709.7918,4.827,1,,,,3.5483134E-6,2.229849,10.876385,0.001062476,0
12913129.88,,5905,,3.4449,-0.08,9.2E-6,3.4518309,0.077864372,0.0034418113,2.06E-5,0.82741095,0.004407,4.2692223,0.0206,0.38722378,1.0957388,0.0053353677,96.852232,2853.2157,5.67,1,,,,3.9789179E-6,2.4471954,11.915137,0.00099709732,0
12913159.42,,5905,,3.4465,-0.08,9.2E-6,3.4487306,0.073560464,0.0034053397,1.784E-5,0.82515029,0.00439,4.23049,0.01784,0.25948934,1.1101935,0.006447044,96.256967,2860.7939,4.98,1,,,,3.9071744E-6,2.1914776,11.893743,0.00098741829,0
12913190.78,,5905,,3.444,-0.08,9.2E-6,3.4495229,0.074527429,0.0034705433,1.8E-5,0.82571862,0.004394,4.2962619,0.018,0.82556123,1.138552,0.0043538364,97.517325,2843.4176,4.898,1,,,,3.8363773E-6,2.220387,11.899208,0.0010060937,0
12913333.91,,5905,,3.5971,-0.08,9.3E-6,3.6056666,0.079091088,0.0035042484,1.875E-5,0.91977234,0.005123,4.4240207,0.01875,0.33975616,1.052619,0.0045296243,97.368294,2962.566,5.264,1,,,,4.2744556E-6,2.2771039,13.000831,0.00097187256,0
12913362.81,,5905,,3.5975,-0.08,9.3E-6,3.6032658,0.078347754,0.0034292313,2.014E-5,0.91843932,0.005129,4.3476706,0.02014,0.15693814,1.1137522,0.005522011,97.000959,2982.0264,5.814,1,,,,3.9790913E-6,2.105238,12.983525,0.0009517009,0
12913391.16,,5905,,3.5973,-0.08,9.2E-6,3.6052608,0.077833749,0.0035330696,1.989E-5,0.91942093,0.005125,4.4524905,0.01989,0.32229718,1.0603726,0.0043226048,97.495011,2954.1558,5.523,1,,,,4.2672E-6,2.2275044,12.997905,0.00097997615,0
12913533.17,,5905,,3.7564,-0.08,9.3E-6,3.7644937,0.081689183,0.0035865921,1.88E-5,1.0550093,0.003347,4.6416015,0.0188,0.58816815,1.102756,0.0048385909,97.488647,3069.2105,5.343,1,,,,4.2741213E-6,2.1207453,14.171413,0.00095274224,0
12913565.16,,5905,,3.7581,-0.08,9.2E-6,3.7658742,0.084472754,0.0035125667,1.869E-5,1.0562979,0.003336,4.5688646,0.01869,0.32268049,1.0803094,0.0043850969,97.706083,3091.7549,5.464,1,,,,4.288149E-6,2.2055121,14.181809,0.00093273607,0
12913597.39,,5905,,3.7537,-0.08,9.2E-6,3.7646414,0.082258687,0.0036132157,1.807E-5,1.055501,0.003343,4.6687166,0.01807,0.54957009,1.1250318,0.0064267915,96.711759,3061.7737,5.086,1,,,,4.2348589E-6,2.1606189,14.172525,0.00095977684,0
12913735.58,,5905,,3.9224,-0.08,9.2E-6,3.9346246,0.087495131,0.0036701866,1.12E-5,1.2013799,0.003537,4.8715665,0.0112,1.2090718,1.0491305,0.0052744321,97.283044,3183.3766,3.233,1,,,,4.7174181E-6,2.2500636,15.481271,0.00093279206,0
12913766.31,,5905,,3.9232,-0.08,9.2E-6,3.9327646,0.084285914,0.0037311385,1.26E-5,1.1996138,0.003526,4.9307523,0.0126,0.36785899,1.085566,0.0048951296,97.541081,3164.447,3.554,1,,,,4.6079689E-6,2.0982609,15.466637,0.00094873172,0
12913797.16,,5905,,3.9259,-0.08,9.2E-6,3.9342064,0.084979089,0.003637116,1.701E-5,1.2003551,0.00353,4.8374712,0.01701,0.047654918,1.0055892,0.0044266482,97.632461,3192.6564,4.962,1,,,,4.8768241E-6,2.1711319,15.47798,0.00092448531,0
12913938.73,,5905,,4.0968,-0.08,9.2E-6,4.1062196,0.084505771,0.0038860819,1.208E-5,1.3642995,0.004259,5.2503814,0.01208,0.99401243,1.0604719,0.0054792786,97.305566,3259.5098,3.369,1,,,,5.0264861E-6,2.0111783,16.861039,0.0009463892,0
12913969.94,,5905,,4.0957,-0.08,9.2E-6,4.1085601,0.088033769,0.0038435932,1.4E-5,1.3668088,0.004262,5.2104021,0.014,0.51331646,1.0542178,0.0043990861,97.838961,3273.3412,3.965,1,,,,5.0020914E-6,2.1209438,16.880266,0.00093550859,0
12913998.13,,5905,,4.095,-0.08,9.2E-6,4.10936,0.086406356,0.0038208672,1.912E-5,1.3669587,0.004263,5.1878259,0.01912,0.062057228,1.002976,0.0039395053,97.972114,3280.4527,5.45,1,,,,5.2307392E-6,2.1084355,16.886839,0.00092979618,0
12914139.59,,5905,,4.2778,-0.08,9.3E-6,4.2888228,0.088723923,0.0039878804,1.407E-5,1.5461238,0.00428,5.5340041,0.01407,0.22038628,1.0564451,0.0048866409,97.699862,3375.2413,3.96,1,,,,5.3026684E-6,2.0059521,18.394001,0.000929831,0
12914168.2,,5905,,4.2782,-0.08,9.2E-6,4.2903938,0.089832877,0.0039985181,1.394E-5,1.5476589,0.004283,5.546177,0.01394,0.41996195,1.0277422,0.005977286,97.104592,3373.4807,3.912,1,,,,5.4805993E-6,2.1128902,18.407479,0.00093196994,0
12914196.56,,5905,,4.2792,-0.08,9.3E-6,4.2907429,0.089387803,0.0040372244,1.36E-5,1.5483001,0.004284,5.5855245,0.0136,1.2825087,1.0713481,0.0058894678,97.251894,3362.9387,3.767,1,,,,5.2909472E-6,2.0554845,18.410474,0.00094091503,0
12914337.08,,5905,,4.4664,-0.08,9.2E-6,4.481588,0.093103806,0.004369194,1.813E-5,1.7239346,0.006203,6.0931286,0.01813,0.29912853,1.0697428,0.0048967212,97.74176,3421.2041,4.719,1,,,,5.763863E-6,2.1426961,20.084631,0.00097492094,0
12914365.16,,5905,,4.4685,-0.08,9.2E-6,4.4823377,0.09436039,0.0042074239,1.548E-5,1.724396,0.006208,5.9318199,0.01548,0.42464395,1.0308788,0.0043446063,97.955411,3465.0798,4.24,1,,,,5.8148219E-6,2.1394856,20.091351,0.00093866732,0
12914394.8,,5905,,4.469,-0.08,9.2E-6,4.4809384,0.091609101,0.0042653052,1.704E-5,1.7229083,0.006192,5.9882135,0.01704,0.13982144,1.0410328,0.0048831532,97.709802,3448.2574,4.58,1,,,,5.8209141E-6,2.0617577,20.078809,0.00095187768,0
