[Header]
TITLE,Tm2O3 HP B-Type Puck 225 7-11-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
3921384.05,,5905,,2.8972,0.043,9.2E-6,2.9069049,0.05665466,0.083629897,0.0007497,0.44493487,0.002565,84.074832,0.7497,7.2407605,25.436296,0.0052394622,95.924205,829.57876,2.464,1,,,,3.4442987E-6,51.645267,8.4500958,0.028769396,0
3921694.2,,5905,,3.0202,0.043,9.2E-6,3.0334159,0.058885933,0.08482505,0.0007199,0.49693174,0.002769,85.321982,0.7199,5.7208711,24.646032,0.0054151169,96.053064,861.59777,2.424,1,,,,3.6025287E-6,50.872591,9.2016118,0.027963541,0
3921892.91,,5905,,3.0202,0.043,9.2E-6,3.0342842,0.058711615,0.084759554,0.0007292,0.49731723,0.002771,85.256871,0.7292,10.219815,24.258852,0.0052012798,96.158434,862.06634,2.458,1,,,,3.6532664E-6,49.292064,9.2068804,0.027933954,0
3922087.64,,5905,,3.0294,0.043,9.2E-6,3.0342383,0.058192366,0.084100554,0.0007276,0.49726397,0.00277,84.597818,0.7276,6.054305,23.669552,0.0048858733,96.336226,864.2991,2.478,1,,,,3.7084832E-6,48.517703,9.2066021,0.027717188,0
3922383.81,,5905,,3.1618,0.043,9.2E-6,3.1668688,0.060865097,0.084760631,0.0007414,0.54672731,0.002989,85.307358,0.7414,9.250056,23.301779,0.0055328004,96.124685,899.73095,2.608,1,,,,3.8067249E-6,47.339104,10.029058,0.026764807,0
3922572.8,,5905,,3.1592,0.043,9.2E-6,3.1679493,0.061412413,0.084820092,0.000792,0.54717478,0.002991,85.367267,0.792,6.6166663,23.336867,0.0057519554,95.971433,899.82758,2.783,1,,,,3.8096726E-6,46.603559,10.035903,0.026774447,0
3922761.41,,5905,,3.156,0.043,9.2E-6,3.16833,0.0612257,0.084596298,0.0006942,0.54723939,0.002991,85.143538,0.6942,5.5335241,22.778631,0.0052444096,96.258052,900.7286,2.45,1,,,,3.8813478E-6,46.673735,10.038315,0.026700595,0
3923051.7,,5905,,3.3004,0.043,9.2E-6,3.3080669,0.063929303,0.08497362,0.0007996,0.60552984,0.003163,85.57915,0.7996,11.253061,21.914447,0.0055641397,96.249095,939.06049,2.927,1,,,,4.0552278E-6,45.557262,10.943307,0.02568679,0
3923230.38,,5905,,3.2991,0.043,9.2E-6,3.3088602,0.064215426,0.084123568,0.0007554,0.60603867,0.003164,84.729606,0.7554,2.2168871,21.836378,0.0057072114,96.177406,942.43886,2.804,1,,,,4.0322669E-6,43.828895,10.948556,0.02542373,0
3923408.47,,5905,,3.3007,0.043,9.2E-6,3.3084942,0.064080275,0.084204212,0.0008192,0.6059013,0.003164,84.810113,0.8192,3.1572335,21.97424,0.0061166661,95.913167,942.03369,3.035,1,,,,4.0216831E-6,43.672756,10.946134,0.025450917,0
