[Header]
TITLE,Eu2O3 LP_GA Puck 225 08-01-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
5752766.2,,5905,,9.3159,0.033,9.2E-6,9.3792276,0.18996523,0.020906547,4.934E-5,11.98697,0.01527,32.893516,0.04934,0.43662993,2.2221803,0.0050886276,99.013172,4249.004,3.337,1,,,,1.4862096E-5,4.3366606,87.969909,0.0022290265,0
5752938.59,,5905,,9.7313,0.033,9.2E-6,9.7914294,0.19173717,0.024009753,4.748E-5,13.318966,0.01605,37.328718,0.04748,0.70534447,2.3531037,0.0044644195,99.17445,4235.7567,2.788,1,,,,1.5918344E-5,4.4443606,95.87209,0.0024521193,0
5752978.47,,5905,,9.731,0.033,9.2E-6,9.7949843,0.1997396,0.023892336,5.182E-5,13.319546,0.01605,37.211881,0.05182,0.32079151,2.3558807,0.0050078237,99.076536,4244.2245,3.064,1,,,,1.5856139E-5,4.7062074,95.941717,0.0024392418,0
5753017,,5905,,9.7343,0.033,9.2E-6,9.7969334,0.19953945,0.023611701,5.4E-5,13.322277,0.01605,36.933978,0.054,0.37720887,2.2813418,0.001836978,99.651032,4261.821,3.244,1,,,,1.6212775E-5,4.7117614,95.979904,0.0024101114,0
5753189.16,,5905,,10.164,0.033,9.2E-6,10.229868,0.19638395,0.027265143,5.125E-5,14.813002,0.01043,42.078144,0.05125,4.0881636,2.5411787,0.0063135763,98.912663,4241.7805,2.655,1,,,,1.6635131E-5,4.5626835,104.65019,0.0026652488,0
5753229.48,,5905,,10.1617,0.033,9.2E-6,10.239442,0.21091865,0.02730148,5.347E-5,14.835273,0.01034,42.136753,0.05347,4.1925362,2.5290097,0.0046076523,99.202329,4243.8662,2.767,1,,,,1.671771E-5,5.0823573,104.84618,0.0026663054,0
5753269.34,,5905,,10.1621,0.033,9.3E-6,10.23991,0.20951474,0.027296794,5.133E-5,14.835868,0.01034,42.132662,0.05133,2.3677468,2.5084921,0.0046634259,99.186142,4244.303,2.657,1,,,,1.6853967E-5,5.0580193,104.85576,0.0026657259,0
5753445.97,,5905,,10.6121,0.033,9.2E-6,10.688687,0.20948955,0.031079628,5.746E-5,16.550688,0.01789,47.630316,0.05746,5.533417,2.7027408,0.005685902,99.073413,4242.741,2.611,1,,,,1.7693294E-5,5.0169843,114.24803,0.0029077125,0
5753486.84,,5905,,10.6113,0.033,9.2E-6,10.694359,0.2195971,0.031078845,6.161E-5,16.57952,0.01793,47.658366,0.06161,4.0476296,2.717945,0.0059788903,99.031705,4245.028,2.801,1,,,,1.7607776E-5,5.4054816,114.36931,0.0029060971,0
5753528.19,,5905,,10.6113,0.033,9.2E-6,10.695405,0.22049945,0.031122384,6.114E-5,16.584572,0.01794,47.706956,0.06114,6.6924463,2.7262044,0.0060020218,99.030576,4243.4628,2.775,1,,,,1.7572471E-5,5.43589,114.3917,0.0029098836,0
5753702.34,,5905,,11.0798,0.033,9.2E-6,11.165869,0.2204505,0.035382428,6.801E-5,18.516445,0.02078,53.898873,0.06801,3.2609959,2.9072526,0.0063377771,99.034606,4244.6722,2.716,1,,,,1.8617505E-5,5.4524089,124.67664,0.0031688019,0
5753745.91,,5905,,11.0799,0.033,9.2E-6,11.170153,0.23020842,0.035417842,6.911E-5,18.520599,0.02078,53.938441,0.06911,5.6758716,2.8963863,0.0049455987,99.243448,4244.8849,2.757,1,,,,1.8683984E-5,5.8145053,124.77232,0.003170757,0
5753789.06,,5905,,11.08,0.033,9.2E-6,11.168636,0.22914787,0.035431851,6.563E-5,18.513893,0.02077,53.945743,0.06563,9.517688,2.8897468,0.0049954729,99.233887,4243.7488,2.617,1,,,,1.8730264E-5,5.7927726,124.73842,0.0031724422,0
5753970.48,,5905,,11.5697,0.033,9.3E-6,11.660062,0.22970015,0.040474143,7.249E-5,20.494212,0.02364,60.968354,0.07249,4.0494762,3.1177436,0.0061768774,99.113079,4238.2733,2.527,1,,,,1.9632555E-5,5.7794936,135.95705,0.0034711773,0
5754014.08,,5905,,11.5701,0.033,9.2E-6,11.665674,0.24055157,0.04052183,7.668E-5,20.52139,0.02368,61.043219,0.07668,9.125021,3.12211,0.0062474926,99.104247,4238.6491,2.67,1,,,,1.9629942E-5,6.2354872,136.08795,0.0034735952,0
